id,text,timestamp,user,location
230061494,@Habsjunkey Maria..I am seeing a doggie today.i need your expert advice.What are some things I need 2 know and 2 ask? Can u help me?,2012-10-24 22:03:42,leezalidis,Montreal
157436816,@NiallOfficial babe would you give me a bigggg hug to help me to get better ?:( im really sick :(,2012-10-24 22:03:39,hscrueI,Montreal
157436816,@NiallOfficial babe would you give me a biggggg hug to help me to get better :( im really sick :(,2012-10-24 22:02:35,hscrueI,Montreal
37768513,“@AnnaGoodson: Please help me spread the word about our International Pumpkin Carving Contest. http://lnkd.in/WhWHyK ”. ;-),2012-10-24 21:02:49,stereoscotty,Montreal
155698567,"Backing your kid up no matter what isn't necc good #parenting. I think we're supposed to help them make good decisions, right?",2012-10-24 18:31:03,mama_naturale,Montreal
184993056,•• {blogged!} ...and I'm lusting again. I can't help it - this season is after my heart! http://bit.ly/UD6lAK  ••,2012-10-24 17:45:02,sorrenisler,Montreal
188164016,Someone help me get back into shape #mcds,2012-10-24 17:21:59,CPreziuso,Montreal
50535881,@kaitpurcell87 i nneeedd too talk to you can you dm me ?! I neeeds help :(((,2012-10-24 15:04:41,aaashle,Montreal
184993056,"@honestlykristen Sooo funny, and she is too fantastic! I can't help it though, I also LOVE Anna Kendrick and Brittany snow #seriouslove",2012-10-24 01:34:07,sorrenisler,Montreal
492314700,"Bored off my ass!! What to do???
Any thoughts anybody?
#help #boredproblems",2012-10-23 17:40:02,Mr_guns6,Montreal
50535881,I have to write a paper thats due today. #help anyone #please ,2012-10-23 13:47:02,aaashle,Montreal
147196862,I'll die with the help of many doctors ~ Alexander The Great,2012-10-23 03:39:02,hana_shahid,Montreal
29632963,Can't help but wait...,2012-10-23 03:34:06,goodiezzzzz,Montreal
487248874,@Huntermoore  I fucked a 241 pound girl and screamed your name hoping you would hear me and help fill her but hole with cream cheese,2012-10-23 03:17:28,Scooottmck,Montreal
17681555,“@sullydish: ...Obama has clawed his way back .. OBAMA has not kept poll bump debate 2. Will this win help?,2012-10-23 02:59:15,josephwiecha,Montreal
97337987,@Pierre_at_Avaya well that is a low blow - not sure how that would help with the 3 daily meetings with customers us road warriors go though,2012-10-22 23:22:32,smfournier,Montreal
155698567,"Does anyone know an #ibclc that has certified recently? Hard time navigating these waters, would love some help!",2012-10-22 22:53:55,mama_naturale,Montreal
28246496,"Couldn't help it ""the spy who loved me"" by #OPI from the Skyfall 007 collection  I'm so putting  @ Spa Maria http://instagr.am/p/RGajm9GLBa/ ",2012-10-22 21:51:34,MariaSanz,Montreal
155698567,@changeMatt thankfully with the help of public health nurse and an #ibclc we got on track,2012-10-22 18:59:36,mama_naturale,Montreal
37931605,@CHCFondation How can we help? That's our backyard! Kids from 3 EMSB schools are excited for the rink to be built!,2012-10-22 18:51:01,EnglishMTL,Montreal
230061494,@Habsjunkey Maria..I am seeing a doggie today.i need your expert advice.What are some things I need 2 know and 2 ask? Can u help me?,2012-10-24 22:03:42,leezalidis,Montreal
157436816,@NiallOfficial babe would you give me a bigggg hug to help me to get better ?:( im really sick :(,2012-10-24 22:03:39,hscrueI,Montreal
157436816,@NiallOfficial babe would you give me a biggggg hug to help me to get better :( im really sick :(,2012-10-24 22:02:35,hscrueI,Montreal
37768513,“@AnnaGoodson: Please help me spread the word about our International Pumpkin Carving Contest. http://lnkd.in/WhWHyK ”. ;-),2012-10-24 21:02:49,stereoscotty,Montreal
155698567,"Backing your kid up no matter what isn't necc good #parenting. I think we're supposed to help them make good decisions, right?",2012-10-24 18:31:03,mama_naturale,Montreal
184993056,•• {blogged!} ...and I'm lusting again. I can't help it - this season is after my heart! http://bit.ly/UD6lAK  ••,2012-10-24 17:45:02,sorrenisler,Montreal
188164016,Someone help me get back into shape #mcds,2012-10-24 17:21:59,CPreziuso,Montreal
50535881,@kaitpurcell87 i nneeedd too talk to you can you dm me ?! I neeeds help :(((,2012-10-24 15:04:41,aaashle,Montreal
184993056,"@honestlykristen Sooo funny, and she is too fantastic! I can't help it though, I also LOVE Anna Kendrick and Brittany snow #seriouslove",2012-10-24 01:34:07,sorrenisler,Montreal
492314700,"Bored off my ass!! What to do???
Any thoughts anybody?
#help #boredproblems",2012-10-23 17:40:02,Mr_guns6,Montreal
50535881,I have to write a paper thats due today. #help anyone #please ,2012-10-23 13:47:02,aaashle,Montreal
147196862,I'll die with the help of many doctors ~ Alexander The Great,2012-10-23 03:39:02,hana_shahid,Montreal
29632963,Can't help but wait...,2012-10-23 03:34:06,goodiezzzzz,Montreal
487248874,@Huntermoore  I fucked a 241 pound girl and screamed your name hoping you would hear me and help fill her but hole with cream cheese,2012-10-23 03:17:28,Scooottmck,Montreal
17681555,“@sullydish: ...Obama has clawed his way back .. OBAMA has not kept poll bump debate 2. Will this win help?,2012-10-23 02:59:15,josephwiecha,Montreal
97337987,@Pierre_at_Avaya well that is a low blow - not sure how that would help with the 3 daily meetings with customers us road warriors go though,2012-10-22 23:22:32,smfournier,Montreal
155698567,"Does anyone know an #ibclc that has certified recently? Hard time navigating these waters, would love some help!",2012-10-22 22:53:55,mama_naturale,Montreal
28246496,"Couldn't help it ""the spy who loved me"" by #OPI from the Skyfall 007 collection  I'm so putting  @ Spa Maria http://instagr.am/p/RGajm9GLBa/ ",2012-10-22 21:51:34,MariaSanz,Montreal
155698567,@changeMatt thankfully with the help of public health nurse and an #ibclc we got on track,2012-10-22 18:59:36,mama_naturale,Montreal
37931605,@CHCFondation How can we help? That's our backyard! Kids from 3 EMSB schools are excited for the rink to be built!,2012-10-22 18:51:01,EnglishMTL,Montreal
24261029,@MadridistaFC I dunno if it wud help u but when I'm over stressed & tired and I need to rest I listen to Quran. Try it it might help?!,2012-10-22 15:56:00,Boutsie,Montreal
50535881,"Thats all i do is try and try and try, and it gets me no where #help #pleaseachance #thatsallimasking",2012-10-22 12:43:38,aaashle,Montreal
561766250,Nothing is better than helping a dear one despite the fact that you yourself you need help,2012-10-22 04:23:11,AdhamRabaawy,Montreal
16345555,"Toyota mercy, your chick she's so thirsty, I give her a glass of water because idk where you are and I can help her out lol.",2012-10-22 03:24:04,_dxiv,Montreal
