id,text,timestamp,user,location
97559123,Please come help end childhood stroke @Aly_Raisman !,2012-10-18 22:52:29,tinyytinna,Boston
165524230,@Aly_Raisman please come and support my bestfriend @tinyytinna to help to raise stroke awareness!! It would mean the world to her,2012-10-18 22:31:11,kwolinski3,Boston
97559123,Help end childhood stroke meet childhood stroke survivors @Aly_Raisman please come and support #endstroke #stroke #AlyCome,2012-10-18 22:24:14,tinyytinna,Boston
131966514,What's to eat at white hall. Someone help.,2012-10-18 22:01:27,mikeykauf,Boston
799086546,we fuss & fight then the next day we tight this is crazy boy we need some help,2012-10-18 21:55:34,NayGawd,Boston
203787940,@Laura_lds07 did u help out ?,2012-10-18 21:48:06,JV098,Boston
308230165,Is it crazy that I made a ven diagram to help me see and understand both sides of the #nhl labor dispute and lockout?? #nolife,2012-10-18 21:04:13,_jesseeka,Boston
305278033,"@klam1219 calls, remembers I'm at work, then texts me saying ""I NEED HELP CHOOSING NAIL POLISH :("" are you serious HAHAHA <3",2012-10-18 20:36:22,angwangg,Boston
253161580,"Why do Indians always look at me funny when I'm in their stores, I'm here to help!",2012-10-18 18:57:07,dan_martn,Boston
614782462,I'm really excited for #Celtics season to start. But I can't help shaking this (irrational?) fear that KG and Pierce will start sucking,2012-10-18 17:37:33,aktualiak,Boston
467706727,I'm to the point where I'll so anything to not be sick anymore #HELP,2012-10-18 17:18:57,JizzyJaz721,Boston
40124380,"Out on BU shoot for @eivnews. Tripod on left arm, DVXcam pack strapped back, academic backpack right. If you see me, help.",2012-10-18 16:34:25,PointJules,Boston
245343743,"""I need your help, I can't tell you what it is you can never ask me about it later &were gonna hurt some people..whos car are we gonna take""",2012-10-18 15:51:09,chels_scola,Boston
116800731,Help!  Friend needs funky flowers for a Halloween centerpiece. Calling on @RickCanale and Exotic Flowers for suggestions!,2012-10-18 15:23:53,RingPRgirl,Boston
76147467,@caulkthewagon ill help in exchange for a shower?,2012-10-18 15:14:25,sunflwer1975,Boston
35198973,"come on tums, please help.",2012-10-18 14:51:07,rachelmwatts,Boston
219724046,Oh... i thought Lumia would help Nokia reverse its situation too http://www.nytimes.com/2012/10/19/technology/nokia-posts-loss-as-smartphone-sales-lag.html?partner=socialflow&smid=tw-nytimesbusiness&_r=0 …,2012-10-18 14:44:08,yilungu,Boston
18787640,Help me Pumpkin Spice Latte...you're my only hope. (@ Starbucks) http://4sq.com/Tw8YhP ,2012-10-18 13:33:34,BUDiningService,Boston
